country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,3718,1880,31,77182,67,14,2020-11-07T12:30:00
AT,Kärnten,4742,2278,38,115501,143,11,2020-11-07T12:30:00
AT,Vorarlberg,8266,4904,49,134874,138,22,2020-11-07T12:30:00
AT,Salzburg,9890,5183,59,133519,135,23,2020-11-07T12:30:00
AT,Steiermark,14721,6326,261,247164,492,59,2020-11-07T12:30:00
AT,Tirol,17653,12353,148,323454,275,44,2020-11-07T12:30:00
AT,Niederösterreich,22046,13525,229,404984,469,58,2020-11-07T12:30:00
AT,Oberösterreich,27618,15647,184,318146,756,86,2020-11-07T12:30:00
AT,Wien,38031,26177,378,671001,531,115,2020-11-07T12:30:00
AT,,146685,88273,1377,2425825,3006,432,2020-11-07T12:30:00
