country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,4747,2513,46,81412,103,12,2020-11-12T09:30:00
AT,Kärnten,6622,3319,57,121848,249,20,2020-11-12T09:30:00
AT,Vorarlberg,10359,6085,57,142514,182,38,2020-11-12T09:30:00
AT,Salzburg,12437,6659,63,145392,163,24,2020-11-12T09:30:00
AT,Steiermark,18987,7724,296,266456,588,82,2020-11-12T09:30:00
AT,Tirol,21882,14859,168,344088,348,54,2020-11-12T09:30:00
AT,Niederösterreich,26875,16242,272,430307,564,69,2020-11-12T09:30:00
AT,Oberösterreich,35859,21047,247,340176,958,112,2020-11-12T09:30:00
AT,Wien,44410,29427,402,703212,656,135,2020-11-12T09:30:00
AT,,182178,107875,1608,2575405,3811,546,2020-11-12T09:30:00
