country,nuts_1,nuts_2,cases,deaths,hospitalized,intensive_care,datetime
BE,Flanders,VlaamsBrabant,48711.0,,100.0,21.0,2020-12-29
BE,Flanders,WestVlaanderen,53363.0,,388.0,55.0,2020-12-29
BE,Wallonia,Namur,,,89.0,31.0,2020-12-29
BE,Brussels,Brussels,,,267.0,70.0,2020-12-29
BE,Flanders,OostVlaanderen,,,416.0,83.0,2020-12-29
BE,Wallonia,BrabantWallon,,,33.0,3.0,2020-12-29
BE,Wallonia,Hainaut,,,308.0,70.0,2020-12-29
BE,Wallonia,Liège,,,210.0,47.0,2020-12-29
BE,Wallonia,Luxembourg,,,59.0,11.0,2020-12-29
BE,Flanders,Limburg,,,136.0,22.0,2020-12-29
BE,Flanders,Antwerpen,,,417.0,86.0,2020-12-29
