country,cases,deaths,datetime
LI,1514,18,2020-12-14T00:00:00
IS,5557,28,2020-12-14T00:00:00
MT,11101,166,2020-12-14T00:00:00
CY,15101,78,2020-12-14T00:00:00
EE,18055,149,2020-12-14T00:00:00
LV,25675,349,2020-12-14T00:00:00
FI,30810,453,2020-12-14T00:00:00
NO,40022,387,2020-12-14T00:00:00
LU,41272,396,2020-12-14T00:00:00
IE,76185,2124,2020-12-14T00:00:00
LT,95021,825,2020-12-14T00:00:00
SI,96314,1459,2020-12-14T00:00:00
DK,109758,941,2020-12-14T00:00:00
GR,124534,3625,2020-12-14T00:00:00
SK,132984,1175,2020-12-14T00:00:00
HR,175886,2640,2020-12-14T00:00:00
BG,179449,5688,2020-12-14T00:00:00
HU,283870,7130,2020-12-14T00:00:00
AT,320036,4400,2020-12-14T00:00:00
SE,320098,7514,2020-12-14T00:00:00
PT,348744,5559,2020-12-14T00:00:00
RO,556335,13385,2020-12-14T00:00:00
CZ,581079,9609,2020-12-14T00:00:00
BE,608001,17951,2020-12-14T00:00:00
NL,612746,10034,2020-12-14T00:00:00
PL,1135676,22864,2020-12-14T00:00:00
DE,1337078,21975,2020-12-14T00:00:00
ES,1730575,47624,2020-12-14T00:00:00
IT,1843712,64520,2020-12-14T00:00:00
GB,1849403,64170,2020-12-14T00:00:00
FR,2376852,57911,2020-12-14T00:00:00
Total,15083443,375147,2020-12-14T00:00:00
