country,cases,deaths,deaths/100k pop.,datetime
LI,2092,27,23.45094,2020-12-28T00:00:00
IS,5726,28,0.0,2020-12-28T00:00:00
MT,12426,215,8.307011,2020-12-28T00:00:00
CY,19657,112,3.881726,2020-12-28T00:00:00
EE,25808,213,4.830845,2020-12-28T00:00:00
FI,35137,546,1.540436,2020-12-28T00:00:00
LV,36838,578,11.92728,2020-12-28T00:00:00
LU,45849,487,14.82341,2020-12-28T00:00:00
NO,47057,429,0.675649,2020-12-28T00:00:00
IE,86894,2205,1.651632,2020-12-28T00:00:00
SI,115327,2584,17.87681,2020-12-28T00:00:00
LT,132369,1269,15.89015,2020-12-28T00:00:00
GR,135931,4672,9.762603,2020-12-28T00:00:00
DK,155826,1204,4.529734,2020-12-28T00:00:00
SK,168092,1879,12.91643,2020-12-28T00:00:00
BG,197716,7164,21.0856,2020-12-28T00:00:00
HR,205246,3739,26.96108,2020-12-28T00:00:00
HU,316669,9161,20.78226,2020-12-28T00:00:00
AT,351386,5872,16.61629,2020-12-28T00:00:00
PT,396666,6677,10.87907,2020-12-28T00:00:00
SE,421449,8459,3.440798,2020-12-28T00:00:00
RO,618429,15334,10.03891,2020-12-28T00:00:00
BE,639636,19226,9.506335,2020-12-28T00:00:00
CZ,674340,11152,14.48853,2020-12-28T00:00:00
NL,769494,11028,5.751595,2020-12-28T00:00:00
PL,1261010,27147,11.27912,2020-12-28T00:00:00
DE,1651834,30126,9.818209,2020-12-28T00:00:00
ES,1879413,50122,4.493251,2020-12-28T00:00:00
IT,2047696,71925,12.26815,2020-12-28T00:00:00
GB,2329730,71109,10.41155,2020-12-28T00:00:00
FR,2562646,63109,7.756717,2020-12-28T00:00:00
Total,17348389,427798,,2020-12-28T00:00:00
