country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,582,241.3,2020-12-09T00:00:00
NO,møre og romsdal,702,264.7,2020-12-09T00:00:00
NO,troms og finnmark,873,358.8,2020-12-09T00:00:00
NO,agder,1089,354.5,2020-12-09T00:00:00
NO,trøndelag,1269,270.7,2020-12-09T00:00:00
NO,vestfold og telemark,1375,327.9,2020-12-09T00:00:00
NO,rogaland,1601,333.6,2020-12-09T00:00:00
NO,innlandet,1937,521.6,2020-12-09T00:00:00
NO,vestland,5239,823.1,2020-12-09T00:00:00
NO,oslo,11544,1664.6,2020-12-09T00:00:00
NO,viken,12068,972.3,2020-12-09T00:00:00
