country,nuts_2,cases,deaths,datetime
PL,lubuskie,121,0,2020-06-03T00:00:00
PL,małopolskie,1249,40,2020-06-03T00:00:00
PL,łódzkie,1613,73,2020-06-03T00:00:00
PL,warmińsko-mazurskie,179,1,2020-06-03T00:00:00
PL,wielkopolskie,2206,154,2020-06-03T00:00:00
PL,dolnośląskie,2642,105,2020-06-03T00:00:00
PL,mazowieckie,3660,275,2020-06-03T00:00:00
PL,podkarpackie,388,35,2020-06-03T00:00:00
PL,podlaskie,468,9,2020-06-03T00:00:00
PL,świętokrzyskie,498,22,2020-06-03T00:00:00
PL,lubelskie,503,15,2020-06-03T00:00:00
PL,zachodniopomorskie,548,19,2020-06-03T00:00:00
PL,pomorskie,559,35,2020-06-03T00:00:00
PL,kujawsko-pomorskie,594,47,2020-06-03T00:00:00
PL,opolskie,682,48,2020-06-03T00:00:00
PL,śląskie,8635,224,2020-06-03T00:00:00
