country,nuts_2,cases,datetime
PL,śląskie,1046,2021-01-01T00:00:00
PL,warmińsko-mazurskie,1061,2021-01-01T00:00:00
PL,pomorskie,1288,2021-01-01T00:00:00
PL,Cały kraj,13397,2021-01-01T00:00:00
PL,wielkopolskie,1469,2021-01-01T00:00:00
PL,kujawsko-pomorskie,1517,2021-01-01T00:00:00
PL,mazowieckie,1739,2021-01-01T00:00:00
PL,świętokrzyskie,193,2021-01-01T00:00:00
PL,podkarpackie,284,2021-01-01T00:00:00
PL,opolskie,347,2021-01-01T00:00:00
PL,podlaskie,356,2021-01-01T00:00:00
PL,małopolskie,387,2021-01-01T00:00:00
PL,lubuskie,493,2021-01-01T00:00:00
PL,lubelskie,564,2021-01-01T00:00:00
PL,łódzkie,703,2021-01-01T00:00:00
PL,dolnośląskie,804,2021-01-01T00:00:00
PL,zachodniopomorskie,900,2021-01-01T00:00:00
