country,cases,intensive_care,datetime
Scotland,1061,,2020-06-24T00:00:00
Scotland,1251,,2020-06-24T00:00:00
Scotland,1413,,2020-06-24T00:00:00
Scotland,1764,,2020-06-24T00:00:00
Scotland,18191,23,2020-06-24T00:00:00
Scotland,2715,6,2020-06-24T00:00:00
Scotland,285,,2020-06-24T00:00:00
Scotland,3150,7,2020-06-24T00:00:00
Scotland,346,,2020-06-24T00:00:00
Scotland,374,,2020-06-24T00:00:00
Scotland,4834,,2020-06-24T00:00:00
Scotland,54,,2020-06-24T00:00:00
Scotland,7,,2020-06-24T00:00:00
Scotland,9,,2020-06-24T00:00:00
Scotland,928,,2020-06-24T00:00:00
Scotland,,,2020-06-24T00:00:00
